ID,商家名稱,省,地址,商家類型,設備類型,累計租借數,累計歸還數,入駐時間,点位,経度,緯度,週一營業時間,週二營業時間,週三營業時間,週四營業時間,週五營業時間,週六營業時間,週日營業時間,新商家類型(python 字典)(子榕),離捷運/火車站距離(抓api爬下來)(恩嘉),是否內用(有就當賺到),座位數(有就當賺到),"google, fb 評價(爬蟲)(恩嘉)",loc,mrt,mrt 中文,time
11269,豐興豪汽車,新北市,新北市新店區安康路二段312號,汽機車部品,,1,1,2019/11/7 17:55,显示,121.5054753,24.9581552,"10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00",,,,,4.1,"(24.9581552, 121.5054753)",,,
13055,武士安全帽 大忠店,新北市,新北市淡水區重建街210號,賣場與商店,3.0 Android 横屏5口,32,30,2019/11/5 17:24,显示,121.4413902,25.1747561,"12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00",,,,,4.1,"(25.174756100000003, 121.4413902)",,,
13786,壹咖啡 淡水店,新北市,新北市淡水區公明街69號,餐飲美食,3.0 Android 横屏5口,245,201,2019/11/5 17:19,显示,121.4438907,25.168687,"10:00:00,22:00:00","10:00:00,22:00:00","10:00:00,22:00:00","10:00:00,22:00:00","10:00:00,22:00:00","10:00:00,22:00:00","10:00:00,22:00:00",,,,,4.2,"(25.168687, 121.44389070000001)",,,
13982,正紅早午餐坊,新北市,新北市三峽區大同路156號,餐飲美食,3.0 Android 横屏5口,9,10,2019/11/5 17:19,显示,121.372978,24.926884,"07:00:00,14:00:00","07:00:00,14:00:00","07:00:00,14:00:00","07:00:00,14:00:00","07:00:00,14:00:00","07:00:00,14:00:00","07:00:00,14:00:00",,,,,4.6,"(24.926884, 121.372978)",,,
14031,長青穀典餐廳,新北市,新北市三峽區民族街2-1號,餐飲美食,3.0 Android 横屏5口,12,11,2019/11/5 17:10,显示,121.369779,24.930174,"11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00",,,,,4.7,"(24.930173999999997, 121.36977900000001)",,,
13053,武士安全帽 水源店,新北市,新北市淡水區水源街二段158之2號,賣場與商店,3.0 Android 横屏5口,57,76,2019/11/5 16:31,显示,121.4548616,25.1752602,"12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00","12:00:00,22:00:00",,,,,4.1,"(25.175260199999997, 121.45486159999999)",,,
8760,艾爾希國際,新北市,新北市五股區成泰路一段194-1號,賣場與商店,3.0 Android 横屏5口,17,22,2019/11/5 16:22,显示,121.4358336,25.0779775,"14:00:00,22:00:00","14:00:00,22:00:00","14:00:00,22:00:00","14:00:00,22:00:00","14:00:00,22:00:00","14:00:00,22:00:00","14:00:00,22:00:00",,,,,5,"(25.0779775, 121.4358336)",,,
9960,可帥美寵物美容,新北市,新北市泰山區泰林路二段578號,其他,,1,1,2019/11/5 16:22,显示,121.4223092,25.0636872,"10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00","10:30:00,21:00:00",,,,,4.1,"(25.0636872, 121.4223092)",,,
14375,清水冬瓜王(三峽店),新北市,新北市三峽區長福街15號,餐飲美食,,1,1,2019/11/5 15:22,显示,121.37058,24.933888,"10:00:00,18:30:00","10:00:00,18:30:00","10:00:00,18:30:00","10:00:00,18:30:00","10:00:00,18:30:00","10:00:00,18:30:00","10:00:00,18:30:00",,,,,4.5,"(24.933888, 121.37058)",,,
9425,半島秘境-白沙灣濱海民宿,新北市,新北市石門區下員坑路15號,旅館住宿,,9,9,2019/11/5 12:19,显示,121.5105518,25.2864323,"07:30:00,17:00:00","07:30:00,17:00:00","07:30:00,17:00:00","07:30:00,17:00:00","07:30:00,17:00:00","07:30:00,17:00:00","07:30:00,17:00:00",,,,,3.8,"(25.2864323, 121.51055179999999)",,,
14901,涼水,新北市,新北市永和區文化路11號,飲料店,,42,49,2019/11/4 19:38,显示,121.5151598,25.0149939,"11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00",,,,,4,"(25.014993899999997, 121.5151598)",,,
14069,天空之城義式廚房,新北市,新北市深坑區北深路三段188號,餐飲美食,3.0 Android 横屏5口,57,51,2019/11/4 18:56,显示,121.6017714,25.0037075,"11:30:00,20:30:00","11:30:00,20:30:00","11:30:00,20:30:00","11:30:00,20:30:00","11:30:00,20:30:00","11:30:00,20:30:00","11:30:00,20:30:00",,,,,4,"(25.0037075, 121.60177140000002)",,,
14033,放鬆鬆餅,新北市,新北市三峽區民權街83號,餐飲美食,,7,5,2019/11/4 16:38,显示,121.369575,24.932805,"10:00:00,19:00:00","10:00:00,19:00:00","10:00:00,19:00:00","10:00:00,19:00:00","10:00:00,19:00:00","10:00:00,19:00:00","10:00:00,19:00:00",,,,,4.6,"(24.932805, 121.369575)",,,
16461,家樂福(樹林店),新北市,新北市樹林區大安路118號,賣場與商店,3.0 Android 竖屏20口,229,255,2019/11/1 18:23,显示,121.4211138,24.9969966,"09:00:00,23:00:00","09:00:00,23:00:00","09:00:00,23:00:00","09:00:00,23:00:00","09:00:00,23:00:00","09:00:00,23:00:00","09:00:00,23:00:00",,,,,4.2,"(24.99699660000001, 121.4211138)",,,
